Couple,File_1,File_2,Kappa
Mario-Jinane,Mario/mistral/sheet_39_annotations_JAKIMOSKI.csv,Jinane/mistral/sheet_39_annotations_HARCHAL.csv,0.152
Hao-Jinane,Hao/mistral/sheet_39_annotations_Hao_mistral.csv,Jinane/mistral/sheet_39_annotations_HARCHAL.csv,0.219
Mario-Hao,Mario/mistral/sheet_39_annotations_JAKIMOSKI.csv,Hao/mistral/sheet_39_annotations_Hao_mistral.csv,0.219
Mario-Axel,Axel/mistral/sheet_50_annotations_FELTEN.csv,Mario/mistral/sheet_50_annotations_JAKIMOSKI.csv,0.303
Hao-Axel,Axel/mistral/sheet_50_annotations_FELTEN.csv,Hao/mistral/sheet_50_annotations_Hao_mistral.csv,0.238
Jinane-Axel,Axel/mistral/sheet_50_annotations_FELTEN.csv,Jinane/mistral/sheet_50_annotations_HARCHAL.csv,0.179
Mario-Jinane,Mario/mistral/sheet_50_annotations_JAKIMOSKI.csv,Jinane/mistral/sheet_50_annotations_HARCHAL.csv,0.180
Hao-Jinane,Hao/mistral/sheet_50_annotations_Hao_mistral.csv,Jinane/mistral/sheet_50_annotations_HARCHAL.csv,0.176
Mario-Hao,Mario/mistral/sheet_50_annotations_JAKIMOSKI.csv,Hao/mistral/sheet_50_annotations_Hao_mistral.csv,0.403
Mario-Axel,Axel/mistral/sheet_7_annotations_FELTEN.csv,Mario/mistral/sheet_7_annotations_JAKIMOSKI.csv,0.435
Hao-Axel,Axel/mistral/sheet_7_annotations_FELTEN.csv,Hao/mistral/sheet_7_annotations_Hao_mistral.csv,0.270
Jinane-Axel,Axel/mistral/sheet_7_annotations_FELTEN.csv,Jinane/mistral/sheet_7_annotations_HARCHAL.csv,0.425
Mario-Jinane,Mario/mistral/sheet_7_annotations_JAKIMOSKI.csv,Jinane/mistral/sheet_7_annotations_HARCHAL.csv,0.318
Hao-Jinane,Hao/mistral/sheet_7_annotations_Hao_mistral.csv,Jinane/mistral/sheet_7_annotations_HARCHAL.csv,0.275
Mario-Hao,Mario/mistral/sheet_7_annotations_JAKIMOSKI.csv,Hao/mistral/sheet_7_annotations_Hao_mistral.csv,0.221
Mario-Axel,Axel/nemotron/sheet_10_annotations_FELTEN.csv,Mario/nemotron/sheet_10_annotations_JAKIMOSKI.csv,0.177
Hao-Axel,Axel/nemotron/sheet_10_annotations_FELTEN.csv,Hao/nemotron/sheet_10_annotations_Hao_nemotron.csv,0.090
Jinane-Axel,Axel/nemotron/sheet_10_annotations_FELTEN.csv,Jinane/nemotron/sheet_10_annotations_HARCHAL.csv,0.225
